area,path,title,description,product,words,updated
"website","website/tools/colorimetry-and-rendering/gamut-lab/docs/define-a-custom-space.md","Define a custom colour space","Enter your own primaries and white point, derive the RGB ↔ XYZ matrices, and keep, import or export the space.","Website › Tools › Colorimetry and rendering","530","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-lab/docs/inspect-transfer-functions.md","Inspect transfer functions","Read each space's transfer curve, understand EOTF and OETF, and check which curves are exact to their standard.","Website › Tools › Colorimetry and rendering","476","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-lab/docs/reference.md","Gamut Lab reference","Every control, readout, option and export in the Gamut Lab.","Website › Tools › Colorimetry and rendering","1566","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-lab/docs/troubleshooting.md","Troubleshooting the Gamut Lab","Fixes for common problems in the Gamut Lab.","Website › Tools › Colorimetry and rendering","532","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-lab/docs/faq.md","Gamut Lab FAQ","Short answers to common questions about the Gamut Lab.","Website › Tools › Colorimetry and rendering","336","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-lab/others/README.md","Gamut Lab: supporting pages","Glossary, shortcuts, limits, related tools, release notes and privacy for the Gamut Lab.","Website › Tools › Colorimetry and rendering","79","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-lab/others/shortcuts.md","Gamut Lab shortcuts","Keyboard and mouse shortcuts in the Gamut Lab.","Website › Tools › Colorimetry and rendering","78","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-lab/others/glossary.md","Gamut Lab glossary","Plain-language definitions of the terms used in the Gamut Lab.","Website › Tools › Colorimetry and rendering","421","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-lab/others/limits-and-accuracy.md","Gamut Lab limits and accuracy","How far the Gamut Lab's diagrams, curves, areas and volumes can be trusted.","Website › Tools › Colorimetry and rendering","359","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-lab/others/privacy.md","Gamut Lab privacy","What the Gamut Lab stores, where, and what leaves your device.","Website › Tools › Colorimetry and rendering","150","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-lab/others/release-notes.md","Gamut Lab release notes","User-facing changes to the Gamut Lab.","Website › Tools › Colorimetry and rendering","226","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-lab/others/related.md","Related to the Gamut Lab","Tools and Learn articles that go well with the Gamut Lab.","Website › Tools › Colorimetry and rendering","165","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/README.md","Gamut Mapping","What the Gamut Mapping lab does, who it is for, where to find it and how to map your first colour.","Website › Tools › Colorimetry and rendering","599","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/docs/README.md","Gamut Mapping documentation","The guides, reference and help pages for the Gamut Mapping lab.","Website › Tools › Colorimetry and rendering","124","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/docs/getting-started.md","Getting started with Gamut Mapping","Open the Gamut Mapping lab, learn its tabs, and read a CIELAB gamut slice.","Website › Tools › Colorimetry and rendering","610","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/docs/compare-spaces-and-methods.md","Compare spaces and methods","Use the Boundary and Methods tabs and the ΔE Playground to compare colour spaces, gamut volumes, mapping methods and colour differences.","Website › Tools › Colorimetry and rendering","562","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/docs/map-a-colour-list.md","Map a list of colours","Map up to 50 HEX colours at once and export images, settings and a link.","Website › Tools › Colorimetry and rendering","352","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/docs/map-a-colour.md","Map a colour into a smaller gamut","Check whether a colour fits a target space, choose a mapping method and strength, and read the result.","Website › Tools › Colorimetry and rendering","616","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/docs/reference.md","Gamut Mapping reference","Every control, readout, option and export in the Gamut Mapping lab.","Website › Tools › Colorimetry and rendering","1364","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/docs/troubleshooting.md","Troubleshooting Gamut Mapping","Fixes for common problems in the Gamut Mapping lab.","Website › Tools › Colorimetry and rendering","529","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/docs/faq.md","Gamut Mapping FAQ","Short answers to common questions about the Gamut Mapping lab.","Website › Tools › Colorimetry and rendering","326","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/others/README.md","Gamut Mapping: supporting pages","Glossary, shortcuts, limits, related tools, release notes and privacy for the Gamut Mapping lab.","Website › Tools › Colorimetry and rendering","79","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/others/shortcuts.md","Gamut Mapping shortcuts","Keyboard and mouse shortcuts in the Gamut Mapping lab.","Website › Tools › Colorimetry and rendering","99","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/others/glossary.md","Gamut Mapping glossary","Plain-language definitions of the terms used in the Gamut Mapping lab.","Website › Tools › Colorimetry and rendering","441","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/others/limits-and-accuracy.md","Gamut Mapping limits and accuracy","What the Gamut Mapping lab computes exactly, what it approximates and what it does not do.","Website › Tools › Colorimetry and rendering","326","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/others/privacy.md","Gamut Mapping privacy","What the Gamut Mapping lab does with your colours and settings.","Website › Tools › Colorimetry and rendering","104","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/others/release-notes.md","Gamut Mapping release notes","User-facing changes to the Gamut Mapping lab.","Website › Tools › Colorimetry and rendering","194","2026-09-25"
"website","website/tools/colorimetry-and-rendering/gamut-map/others/related.md","Related to Gamut Mapping","Tools and Learn articles that go well with the Gamut Mapping lab.","Website › Tools › Colorimetry and rendering","173","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/README.md","HDR Gamut Plot","What the HDR Gamut Plot does, who it is for, where to find it and how to take your first reading.","Website › Tools › Colorimetry and rendering","578","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/docs/README.md","HDR Gamut Plot documentation","The guides, reference and help pages for the HDR Gamut Plot.","Website › Tools › Colorimetry and rendering","121","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/docs/getting-started.md","Getting started with the HDR Gamut Plot","Open the HDR Gamut Plot, learn its tabs, and read the chromaticity diagram.","Website › Tools › Colorimetry and rendering","497","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/docs/compare-broadcast-gamuts.md","Compare broadcast gamuts","Compare Rec.709/sRGB, Display P3 and Rec.2020 by area and share of the spectral locus, and measure how much of each an image occupies.","Website › Tools › Colorimetry and rendering","477","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/docs/explore-perceptual-planes.md","Explore ICtCp and Jzazbz planes","View the three gamuts in the ICtCp or Jzazbz perceptual planes, read the boundary rings from 0.1 to 10,000 nits, and convert HEX colours.","Website › Tools › Colorimetry and rendering","454","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/docs/read-hdr-curves.md","Read HDR transfer curves","Compare PQ, HLG and gamma curves in cd/m², set peak brightness and HLG surround, and read what a signal value means in nits.","Website › Tools › Colorimetry and rendering","600","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/docs/reference.md","HDR Gamut Plot reference","Every control, readout, option and export in the HDR Gamut Plot.","Website › Tools › Colorimetry and rendering","1238","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/docs/troubleshooting.md","Troubleshooting the HDR Gamut Plot","Fixes for common problems in the HDR Gamut Plot.","Website › Tools › Colorimetry and rendering","480","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/docs/faq.md","HDR Gamut Plot FAQ","Short answers to common questions about the HDR Gamut Plot.","Website › Tools › Colorimetry and rendering","341","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/others/README.md","HDR Gamut Plot: supporting pages","Glossary, shortcuts, limits, related tools, release notes and privacy for the HDR Gamut Plot.","Website › Tools › Colorimetry and rendering","83","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/others/shortcuts.md","HDR Gamut Plot shortcuts","Keyboard and mouse shortcuts in the HDR Gamut Plot.","Website › Tools › Colorimetry and rendering","143","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/others/glossary.md","HDR Gamut Plot glossary","Plain-language definitions of the HDR and colour terms used in the HDR Gamut Plot.","Website › Tools › Colorimetry and rendering","378","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/others/limits-and-accuracy.md","HDR Gamut Plot limits and accuracy","How far the HDR Gamut Plot's curves, planes, shares and image readings can be trusted.","Website › Tools › Colorimetry and rendering","301","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/others/privacy.md","HDR Gamut Plot privacy","What the HDR Gamut Plot does with your images, colours and settings.","Website › Tools › Colorimetry and rendering","119","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/others/release-notes.md","HDR Gamut Plot release notes","User-facing changes to the HDR Gamut Plot.","Website › Tools › Colorimetry and rendering","203","2026-09-25"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/others/related.md","Related to the HDR Gamut Plot","Tools and Learn articles that go well with the HDR Gamut Plot.","Website › Tools › Colorimetry and rendering","155","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/README.md","Illuminants","What the Standard Illuminants lab does, who it is for, where to find it and how to take your first reading.","Website › Tools › Colorimetry and rendering","692","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/docs/README.md","Illuminants documentation","The guides, reference and help pages for the Standard Illuminants lab.","Website › Tools › Colorimetry and rendering","145","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/docs/getting-started.md","Getting started with Illuminants","Open the Standard Illuminants lab, learn its eight tabs and take your first reading of a light source.","Website › Tools › Colorimetry and rendering","808","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/docs/adapt-between-white-points.md","Adapt colours between white points","Use the chromatic adaptation panel to move a 24-colour chart from one white point to another and read the transform matrix.","Website › Tools › Colorimetry and rendering","607","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/docs/compare-light-sources.md","Compare two light sources","Overlay two illuminants, read their CCT, CRI and white points side by side, and judge metamerism risk with the surface samples.","Website › Tools › Colorimetry and rendering","603","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/docs/estimate-uncertainty.md","Estimate measurement uncertainty","Propagate a spectroradiometer uncertainty budget into x, y, CCT and Duv with the Monte Carlo view.","Website › Tools › Colorimetry and rendering","689","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/docs/query-console.md","Query many illuminants at once","Use the Console tab's query language to tabulate, sort, plot and export readings for many illuminants.","Website › Tools › Colorimetry and rendering","765","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/docs/reference.md","Illuminants reference","Every control, readout, option and export in the Standard Illuminants lab, tab by tab.","Website › Tools › Colorimetry and rendering","2291","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/docs/troubleshooting.md","Troubleshooting Illuminants","What to do when a reading, chart, export or shortcut in the Standard Illuminants lab does not behave as expected.","Website › Tools › Colorimetry and rendering","630","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/docs/faq.md","Illuminants FAQ","Short answers to common questions about the Standard Illuminants lab.","Website › Tools › Colorimetry and rendering","484","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/others/README.md","Illuminants: supporting pages","Glossary, shortcuts, limits, related tools, release notes and privacy for the Standard Illuminants lab.","Website › Tools › Colorimetry and rendering","109","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/others/shortcuts.md","Illuminants shortcuts","Keyboard and mouse shortcuts in the Standard Illuminants lab.","Website › Tools › Colorimetry and rendering","208","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/others/glossary.md","Illuminants glossary","Plain-language definitions of the colour-science terms used in the Standard Illuminants lab.","Website › Tools › Colorimetry and rendering","716","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/others/limits-and-accuracy.md","Illuminants limits and accuracy","Which Illuminants readings are standard values, which rest on stand-ins, and what the lab does not compute.","Website › Tools › Colorimetry and rendering","536","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/others/privacy.md","Illuminants privacy","What the Standard Illuminants lab keeps on your device and what, if anything, leaves it.","Website › Tools › Colorimetry and rendering","174","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/others/release-notes.md","Illuminants release notes","User-facing changes to the Standard Illuminants lab.","Website › Tools › Colorimetry and rendering","226","2026-09-25"
"website","website/tools/colorimetry-and-rendering/illuminants/others/related.md","Related to Illuminants","Tools and Learn articles that go well with the Standard Illuminants lab.","Website › Tools › Colorimetry and rendering","188","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/README.md","Tonal Steps","What the Tonal Steps, Tints and Shades tool does, who it is for, where to find it and how to build your first ramp.","Website › Tools › Colorimetry and rendering","521","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/docs/README.md","Tonal Steps documentation","The guides, reference and help pages for Tonal Steps, Tints and Shades.","Website › Tools › Colorimetry and rendering","134","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/docs/getting-started.md","Getting started with Tonal Steps","Open Tonal Steps, learn its tabs, and build and read your first ramp.","Website › Tools › Colorimetry and rendering","636","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/docs/build-a-ramp.md","Build a ramp","Choose a ramp engine, step count and easing, and judge how even the ramp is.","Website › Tools › Colorimetry and rendering","664","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/docs/check-contrast.md","Check contrast","Read every ramp step's WCAG 2.2 ratio and rating and its APCA-W3 Lc against white, black or the base colour.","Website › Tools › Colorimetry and rendering","432","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/docs/export-tokens.md","Export tokens","Export the ramp, key set or contrast table as CSS, SCSS, JSON or CSV, share a link, and analyse a list of colours.","Website › Tools › Colorimetry and rendering","521","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/docs/tints-shades-tones.md","Make tints, shades, tones and key sets","Build tints, shades, tones, a neutral ladder and 50–950 or 50–900 key sets, and choose the space they are mixed in.","Website › Tools › Colorimetry and rendering","443","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/docs/reference.md","Tonal Steps reference","Every control, readout, option and export in Tonal Steps, Tints and Shades.","Website › Tools › Colorimetry and rendering","1112","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/docs/troubleshooting.md","Troubleshooting Tonal Steps","Fixes for common problems in Tonal Steps, Tints and Shades.","Website › Tools › Colorimetry and rendering","487","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/docs/faq.md","Tonal Steps FAQ","Short answers to common questions about Tonal Steps, Tints and Shades.","Website › Tools › Colorimetry and rendering","287","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/others/README.md","Tonal Steps: supporting pages","Glossary, shortcuts, limits, related tools, release notes and privacy for Tonal Steps.","Website › Tools › Colorimetry and rendering","77","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/others/shortcuts.md","Tonal Steps shortcuts","Keyboard shortcuts in Tonal Steps, Tints and Shades.","Website › Tools › Colorimetry and rendering","118","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/others/glossary.md","Tonal Steps glossary","Plain-language definitions of the terms used in Tonal Steps, Tints and Shades.","Website › Tools › Colorimetry and rendering","327","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/others/limits-and-accuracy.md","Tonal Steps limits and accuracy","What the Tonal Steps figures rest on, how precise they are, and what the tool does not claim.","Website › Tools › Colorimetry and rendering","287","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/others/privacy.md","Tonal Steps privacy","What Tonal Steps does with your colours and settings.","Website › Tools › Colorimetry and rendering","104","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/others/release-notes.md","Tonal Steps release notes","User-facing changes to Tonal Steps, Tints and Shades.","Website › Tools › Colorimetry and rendering","213","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tonal-steps/others/related.md","Related to Tonal Steps","Tools and Learn articles that go well with Tonal Steps, Tints and Shades.","Website › Tools › Colorimetry and rendering","163","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/README.md","Tone Mapping","What the Tone Mapping lab does, who it is for, where to find it and how to map your first frame.","Website › Tools › Colorimetry and rendering","561","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/docs/README.md","Tone Mapping documentation","The guides, reference and help pages for the Tone Mapping lab.","Website › Tools › Colorimetry and rendering","128","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/docs/getting-started.md","Getting started with Tone Mapping","Open the Tone Mapping lab, learn its tabs and the eleven-step pipeline, and read your first mapped frame.","Website › Tools › Colorimetry and rendering","582","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/docs/compare-operators.md","Compare operators","Compare all nine operators by what they return for chosen inputs, where they reach white, and how their curves look.","Website › Tools › Colorimetry and rendering","626","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/docs/export-a-lut.md","Export a LUT","Export the tone curve as a 1D .cube or CSV, the whole pipeline as a 3D .cube, a link to the view, and map a list of colours.","Website › Tools › Colorimetry and rendering","587","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/docs/map-a-frame.md","Map a frame","Choose a source, set exposure and a tone curve, grade the result and set the output for your display.","Website › Tools › Colorimetry and rendering","900","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/docs/read-the-scopes.md","Read the scopes","Use the histogram, waveform, vectorscope, false-colour map and A/B split to judge a mapped frame.","Website › Tools › Colorimetry and rendering","529","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/docs/reference.md","Tone Mapping reference","Every control, readout, option and export in the Tone Mapping lab.","Website › Tools › Colorimetry and rendering","1506","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/docs/troubleshooting.md","Troubleshooting Tone Mapping","Fixes for common problems in the Tone Mapping lab.","Website › Tools › Colorimetry and rendering","550","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/docs/faq.md","Tone Mapping FAQ","Short answers to common questions about the Tone Mapping lab.","Website › Tools › Colorimetry and rendering","338","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/others/README.md","Tone Mapping: supporting pages","Glossary, shortcuts, limits, related tools, release notes and privacy for the Tone Mapping lab.","Website › Tools › Colorimetry and rendering","79","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/others/shortcuts.md","Tone Mapping shortcuts","Keyboard and mouse shortcuts in the Tone Mapping lab.","Website › Tools › Colorimetry and rendering","51","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/others/glossary.md","Tone Mapping glossary","Plain-language definitions of the terms used in the Tone Mapping lab.","Website › Tools › Colorimetry and rendering","381","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/others/limits-and-accuracy.md","Tone Mapping limits and accuracy","What the Tone Mapping lab implements exactly, what is its own, and what it does not do.","Website › Tools › Colorimetry and rendering","342","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/others/privacy.md","Tone Mapping privacy","What the Tone Mapping lab does with your images and settings.","Website › Tools › Colorimetry and rendering","128","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/others/release-notes.md","Tone Mapping release notes","User-facing changes to the Tone Mapping lab.","Website › Tools › Colorimetry and rendering","191","2026-09-25"
"website","website/tools/colorimetry-and-rendering/tone-mapping/others/related.md","Related to Tone Mapping","Tools and Learn articles that go well with the Tone Mapping lab.","Website › Tools › Colorimetry and rendering","130","2026-09-25"
"website","website/tools/perception-and-spectral/README.md","Perception and spectral tools","What the three perception and neuroscience tools and the two spectral tools on auricartisan.com are for, where to find them, and which one to open for each job.","Website › Tools › Perception and spectral","931","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/README.md","Industrial Dye Chemistry (Dye in Solution)","What the Dye in Solution tool does, who it is for, where to find it and how to watch a first pH indicator change colour.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","809","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/docs/README.md","Using Dye in Solution","Contents of the how-to documentation for the Dye in Solution tool.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","200","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/docs/getting-started.md","Getting started with Dye in Solution","Open Dye in Solution, learn the layout of the Lab tab and read the default bath.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","584","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/docs/build-a-bath.md","Build a bath","Add, select, mute and remove dyes, set concentration and path length, and understand absorbance and the Beer–Lambert law.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","943","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/docs/compare-lights.md","Compare lights","Choose the illuminant, read the colour readouts, compare the bath under every light, and understand colour inconstancy, metamerism, dominant wavelength and purity.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","924","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/docs/export-and-share.md","Export and share","Download the 81-row spectrum CSV and the whole-bath JSON, and copy a link that rebuilds the bath.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","591","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/docs/run-a-titration.md","Run a titration","Change the pH, understand pKa, the base fraction and the two forms of a dye, animate a titration and find the isosbestic point.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","791","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/docs/run-a-tolerance-sweep.md","Run a tolerance sweep","Estimate how far a bath's colour moves when concentration, path length and molar absorptivity vary within stated tolerances.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","476","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/docs/use-a-measured-spectrum.md","Use a measured spectrum","Replace a drawn dye band with a measured UV–Vis molar absorptivity spectrum, and go back to the drawn bands.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","491","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/docs/reference.md","Dye in Solution reference","Every tab, control, readout, message and file format in Dye in Solution, with ranges and defaults.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","1537","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/docs/troubleshooting.md","Troubleshooting Dye in Solution","Symptoms, causes and fixes for Dye in Solution: flags, refused spectra, component limits, the plot and links.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","696","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/docs/faq.md","Dye in Solution FAQ","Short answers to common questions about Dye in Solution.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","395","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/others/README.md","Dye in Solution background","Contents of the background material for the Dye in Solution tool.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","135","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/others/shortcuts.md","Dye in Solution shortcuts","Keyboard and pointer actions in the Dye in Solution tool.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","152","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/others/glossary.md","Dye in Solution glossary","Chemistry and colour terms used in the Dye in Solution tool, each explained briefly.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","512","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/others/limits-and-accuracy.md","Limits and accuracy","What Dye in Solution takes from published sources, what is its own, how precise it is, what it does not hold, and what it cannot tell you about safety.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","745","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/others/privacy.md","Privacy","What Dye in Solution keeps in your browser and what uses the network.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","160","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/others/release-notes.md","Release notes","User-facing history of the Dye in Solution tool.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","270","2026-09-25"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/others/related.md","Related tools and articles","Tools and Learn articles related to Dye in Solution.","Website › Tools › Perception and spectral › Industrial Dye Chemistry","165","2026-09-25"
"website","website/tools/perception-and-spectral/material-lighting/README.md","Material Lighting (Material Under Light)","What the Material Under Light tool does, who it is for, where to find it and how to render a first material under a chosen light.","Website › Tools › Perception and spectral › Material Lighting","768","2026-09-25"
"website","website/tools/perception-and-spectral/material-lighting/docs/README.md","Using Material Under Light","Contents of the how-to documentation for the Material Under Light tool.","Website › Tools › Perception and spectral › Material Lighting","183","2026-09-25"
"website","website/tools/perception-and-spectral/material-lighting/docs/getting-started.md","Getting started with Material Under Light","Open Material Under Light, learn the layout of the Lab tab and read the default gold-under-daylight scene.","Website › Tools › Perception and spectral › Material Lighting","629","2026-09-25"
"website","website/tools/perception-and-spectral/material-lighting/docs/compare-with-the-reference.md","Compare with the reference light","Read the measured colour temperature and its error band, understand how the reference light is chosen, and interpret the colour difference between a material under its source and under that reference.","Website › Tools › Perception and spectral › Material Lighting","733","2026-09-25"
"website","website/tools/perception-and-spectral/material-lighting/docs/export-and-share.md","Export and share","Download the 81-row spectrum CSV and the whole-scene JSON, and copy a link that rebuilds the scene.","Website › Tools › Perception and spectral › Material Lighting","615","2026-09-25"
"website","website/tools/perception-and-spectral/material-lighting/docs/run-a-sensitivity-sweep.md","Run a sensitivity sweep","Use the Metrics tab to see how far the colour moves when the reflectance curve is perturbed, and read why the CRI and TM-30 figures were withdrawn.","Website › Tools › Perception and spectral › Material Lighting","591","2026-09-25"
"website","website/tools/perception-and-spectral/material-lighting/docs/set-up-a-scene.md","Set up a scene","Choose the light, the material, the surface model and the viewing geometry, and understand what each does to the spectrum and the colour.","Website › Tools › Perception and spectral › Material Lighting","1117","2026-09-25"
"website","website/tools/perception-and-spectral/material-lighting/docs/use-a-measured-reflectance.md","Use a measured reflectance","Load a spectrophotometer reflectance file in place of the synthesised presets, and go back to the presets.","Website › Tools › Perception and spectral › Material Lighting","381","2026-09-25"
"website","website/tools/perception-and-spectral/material-lighting/docs/reference.md","Material Under Light reference","Every tab, control, readout, message and file format in Material Under Light, with ranges and defaults.","Website › Tools › Perception and spectral › Material Lighting","1307","2026-09-25"
"website","website/tools/perception-and-spectral/material-lighting/docs/troubleshooting.md","Troubleshooting Material Under Light","Symptoms, causes and fixes for Material Under Light: black samples, disabled controls, clipping, refused files and links.","Website › Tools › Perception and spectral › Material Lighting","612","2026-09-25"
"website","website/tools/perception-and-spectral/material-lighting/docs/faq.md","Material Under Light FAQ","Short answers to common questions about Material Under Light.","Website › Tools › Perception and spectral › Material Lighting","394","2026-09-25"
"website","website/tools/perception-and-spectral/material-lighting/others/README.md","Material Under Light background","Contents of the background material for the Material Under Light tool.","Website › Tools › Perception and spectral › Material Lighting","136","2026-09-25"
