area,folder,title,description,documents
"website","website/portfolio/others","Portfolio: other material","Supporting material for the Portfolio Builder and Portfolio Index.","6"
"website","website/search","Search and the Search Console","What the Auric Artisan search page and the Search Console are, who they are for, and how to run your first search.","1"
"website","website/search/docs","Search documentation","Task guides, reference, troubleshooting and FAQ for the search page and the Search Console.","14"
"website","website/search/others","Search: other material","Supporting material for the Auric Artisan search page and the Search Console.","6"
"website","website/account-and-billing","Account and billing","Everything about your Auric Artisan account — signing up and in, the dashboard, security, plans, tokens, payments, invoices, refunds, API keys and deleting your account.","1"
"website","website/account-and-billing/docs","Account and billing docs","The task guides, reference, troubleshooting and FAQ for the Auric Artisan account, dashboard and billing.","26"
"website","website/account-and-billing/others","Account and billing: supporting pages","Supporting material for the Auric Artisan account area — glossary, keyboard shortcuts, limits, privacy and related pages.","6"
"website","website/download-and-offline","Download and offline","Install Auric Artisan as an app, prepare it to work offline, keep it up to date, manage its storage, and remove it.","1"
"website","website/download-and-offline/docs","Download and offline guides","Contents of the download and offline guides.","12"
"website","website/download-and-offline/others","Download and offline: supporting material","Contents of the download and offline supporting files.","6"
"website","website/advertise","Advertise on Auric Artisan","What advertising on Auric Artisan offers, who it is for, and how to request your first campaign with the AdsSense campaign builder.","1"
"website","website/advertise/docs","Advertise documentation","Task guides, reference, troubleshooting and FAQ for advertising on Auric Artisan and the Ad Library.","11"
"website","website/advertise/others","Advertise: other material","Supporting material for advertising on Auric Artisan.","5"
"website","website/company-and-legal","Company and legal","Plain-language summaries of Auric Artisan's company pages and legal policies, each linked to the official page that governs.","1"
"website","website/company-and-legal/docs","Company and legal docs","The list of plain-language summaries of Auric Artisan's company pages and legal policies.","23"
"website","website/company-and-legal/others","Company and legal: supporting pages","Supporting pages for the company and legal summaries — a glossary of policy terms and a map of related documentation.","3"
"vscode-extensions","vscode-extensions","VS Code extensions","Every Auric Artisan extension for Visual Studio Code, what each one does, its Marketplace ID and minimum VS Code version, and where its documentation lives.","1"
"vscode-extensions","vscode-extensions/install-and-setup","Install and set up the Auric Artisan VS Code extensions","How to install, update, disable, remove and configure any of the seventeen Auric Artisan extensions for Visual Studio Code.","1"
"vscode-extensions","vscode-extensions/install-and-setup/docs","Install and setup guides","Contents of the installation and setup guides for the Auric Artisan VS Code extensions.","13"
"vscode-extensions","vscode-extensions/install-and-setup/others","Supporting material","Contents of the supporting pages for installing and setting up the Auric Artisan VS Code extensions.","6"
"vscode-extensions","vscode-extensions/auric-artisan-studio","Auric Artisan Studio","What Auric Artisan Studio is, which of its four extensions to install, and how to get your first result in a few minutes.","1"
"vscode-extensions","vscode-extensions/auric-artisan-studio/docs","Auric Artisan Studio docs","The shared guides and reference pages that apply to every Auric Artisan Studio extension.","21"
"vscode-extensions","vscode-extensions/auric-artisan-studio/accessibility","Auric Accessibility — WCAG 2.2 Linter","What Auric Accessibility does, who it is for, how to install it, and a quick start from first scan to first fix.","1"
"vscode-extensions","vscode-extensions/auric-artisan-studio/accessibility/docs","Auric Accessibility docs","The guides and reference pages for Auric Accessibility.","13"
"vscode-extensions","vscode-extensions/auric-artisan-studio/accessibility/others","Auric Accessibility: other resources","Glossary, shortcuts, limits and accuracy, related pages, release notes and privacy for Auric Accessibility.","7"
"vscode-extensions","vscode-extensions/auric-artisan-studio/code-health","Auric Code Health — Secrets, TODOs & Risk","What Auric Code Health does, who it is for, how to install it, and a quick start from first finding to CI record.","1"
"vscode-extensions","vscode-extensions/auric-artisan-studio/code-health/docs","Auric Code Health docs","The guides and reference pages for Auric Code Health.","9"
"vscode-extensions","vscode-extensions/auric-artisan-studio/code-health/others","Auric Code Health: other resources","Glossary, shortcuts, limits and accuracy, related pages, release notes and privacy for Auric Code Health.","7"
"vscode-extensions","vscode-extensions/auric-artisan-studio/color","Auric Color — Picker, Palettes & Contrast","What Auric Color does, who it is for, how to install it, and a quick start from hover to fix.","1"
"vscode-extensions","vscode-extensions/auric-artisan-studio/color/docs","Auric Color docs","The guides and reference pages for Auric Color.","12"
"vscode-extensions","vscode-extensions/auric-artisan-studio/color/others","Auric Color: other resources","Glossary, shortcuts, limits and accuracy, related pages, release notes and privacy for Auric Color.","7"
"vscode-extensions","vscode-extensions/auric-artisan-studio/full-pack","Auric Artisan Studio — Full Pack","What the Auric Artisan Studio Full Pack installs, who it is for, and how to get started with it.","1"
"vscode-extensions","vscode-extensions/auric-artisan-studio/full-pack/docs","Full Pack docs","The guides and reference pages for the Auric Artisan Studio Full Pack.","6"
"vscode-extensions","vscode-extensions/auric-artisan-studio/full-pack/others","Full Pack: other resources","Glossary, related pages, release notes and privacy for the Auric Artisan Studio Full Pack.","5"
"vscode-extensions","vscode-extensions/auric-artisan-studio/others","Other resources","The glossary, shortcuts, limits, related tools, release notes and privacy information for Auric Artisan Studio.","7"
"vscode-extensions","vscode-extensions/auric-artisan-theme","Auric Artisan Theme","What the Auric Artisan Theme extension for VS Code is, who it is for, how to install it and where to find each guide.","1"
"vscode-extensions","vscode-extensions/auric-artisan-theme/docs","Auric Artisan Theme guides","Contents of the Auric Artisan Theme guides folder, with one line on each guide.","13"
"vscode-extensions","vscode-extensions/auric-artisan-theme/others","Auric Artisan Theme: other information","Contents of the supporting pages for Auric Artisan Theme: glossary, shortcuts, limits, related products, release notes and privacy.","7"
"vscode-extensions","vscode-extensions/auric-artisan-file-icons","Auric Artisan File Icons","What the Auric Artisan File Icons extension is, who it is for, how to install it and where to find each guide.","1"
"vscode-extensions","vscode-extensions/auric-artisan-file-icons/docs","Auric Artisan File Icons guides","Contents of the Auric Artisan File Icons guides folder, with one line on each guide.","12"
"vscode-extensions","vscode-extensions/auric-artisan-file-icons/others","Auric Artisan File Icons: other information","Contents of the supporting pages for Auric Artisan File Icons.","7"
"vscode-extensions","vscode-extensions/auric-artisan-icon-pack","Auric Artisan Icon Pack","What the Auric Artisan Icon Pack is, what it installs, how to get it and where to find each guide.","1"
"vscode-extensions","vscode-extensions/auric-artisan-icon-pack/docs","Auric Artisan Icon Pack guides","Contents of the Auric Artisan Icon Pack guides folder.","5"
"vscode-extensions","vscode-extensions/auric-artisan-icon-pack/others","Icon Pack: other information","Contents of the supporting pages for Auric Artisan Icon Pack.","6"
"vscode-extensions","vscode-extensions/auric-icons-modern","Auric Icons: Modern","What the Auric Icons: Modern extension is, who it is for, how to install it and where to find each guide.","1"
"vscode-extensions","vscode-extensions/auric-icons-modern/docs","Auric Icons: Modern guides","Contents of the Auric Icons: Modern guides folder, with one line on each guide.","9"
"vscode-extensions","vscode-extensions/auric-icons-modern/others","Auric Icons: Modern: other information","Contents of the supporting pages for Auric Icons: Modern.","7"
"vscode-extensions","vscode-extensions/auric-icons-drawn","Auric Icons: Drawn","What the Auric Icons: Drawn extension is, who it is for, how to install it and where to find each guide.","1"
"vscode-extensions","vscode-extensions/auric-icons-drawn/docs","Auric Icons: Drawn guides","Contents of the Auric Icons: Drawn guides folder, with one line on each guide.","8"
"vscode-extensions","vscode-extensions/auric-icons-drawn/others","Auric Icons: Drawn: other information","Contents of the supporting pages for Auric Icons: Drawn.","7"
"vscode-extensions","vscode-extensions/auric-icons-playful","Auric Icons: Playful","What the Auric Icons: Playful extension is, who it is for, how to install it and where to find each guide.","1"
"vscode-extensions","vscode-extensions/auric-icons-playful/docs","Auric Icons: Playful guides","Contents of the Auric Icons: Playful guides folder, with one line on each guide.","8"
"vscode-extensions","vscode-extensions/auric-icons-playful/others","Auric Icons: Playful: other information","Contents of the supporting pages for Auric Icons: Playful.","7"
"vscode-extensions","vscode-extensions/auric-artisan-emoji","Auric Artisan Emoji","What the Auric Artisan Emoji extension is, who it is for, how to install it and where to find each guide.","1"
"vscode-extensions","vscode-extensions/auric-artisan-emoji/docs","Auric Artisan Emoji guides","Contents of the Auric Artisan Emoji guides folder, with one line on each guide.","10"
"vscode-extensions","vscode-extensions/auric-artisan-emoji/others","Auric Artisan Emoji: other information","Contents of the supporting pages for Auric Artisan Emoji.","7"
"vscode-extensions","vscode-extensions/auric-artisan-icon-studio","Auric Artisan Icon Studio","What Auric Artisan Icon Studio is, who it is for, how to install it and where to find each guide.","1"
"vscode-extensions","vscode-extensions/auric-artisan-icon-studio/docs","Icon Studio guides","Contents of the Icon Studio guides folder, with one line on each guide.","9"
"vscode-extensions","vscode-extensions/auric-artisan-icon-studio/others","Icon Studio: other information","Contents of the supporting pages for Icon Studio: glossary, shortcuts, limits, comparison, release notes and privacy.","7"
"vscode-extensions","vscode-extensions/auric-artisan-icon-hub","Auric Artisan Icon Hub","What the Auric Artisan Icon Hub extension is, who it is for, how to install it and where to find each guide.","1"
"vscode-extensions","vscode-extensions/auric-artisan-icon-hub/docs","Icon Hub guides","Contents of the Icon Hub guides folder, with one line on each guide.","11"
"vscode-extensions","vscode-extensions/auric-artisan-icon-hub/others","Icon Hub: other information","Contents of the supporting pages for Auric Artisan Icon Hub.","7"
"vscode-extensions","vscode-extensions/auric-artisan-live","Auric Artisan Live","What Auric Artisan Live does, who it is for, how to install it and where to find every guide.","1"
"vscode-extensions","vscode-extensions/auric-artisan-live/docs","Auric Artisan Live guides","Contents of the Auric Artisan Live task guides and reference.","15"
"vscode-extensions","vscode-extensions/auric-artisan-live/others","Supporting material","Contents of the supporting pages for Auric Artisan Live.","7"
"vscode-extensions","vscode-extensions/auric-artisan-file-system","Auric Artisan File System","What Auric Artisan File System does, who it is for, how to install it and where to find every guide.","1"
"vscode-extensions","vscode-extensions/auric-artisan-file-system/docs","Auric Artisan File System guides","Contents of the Auric Artisan File System task guides and reference.","13"
"vscode-extensions","vscode-extensions/auric-artisan-file-system/others","Supporting material","Contents of the supporting pages for Auric Artisan File System.","7"
"vscode-extensions","vscode-extensions/auric-artisan-font-hub","Auric Artisan Font Hub","What Auric Artisan Font Hub does, who it is for, how to install it and where to find every guide.","1"
"vscode-extensions","vscode-extensions/auric-artisan-font-hub/docs","Auric Artisan Font Hub guides","Contents of the Auric Artisan Font Hub task guides and reference.","12"
"vscode-extensions","vscode-extensions/auric-artisan-font-hub/others","Supporting material","Contents of the supporting pages for Auric Artisan Font Hub.","7"
"vscode-extensions","vscode-extensions/auric-artisan-formatter","Auric Artisan Formatter","What Auric Artisan Formatter does, who it is for, how to install it and where to find every guide.","1"
"vscode-extensions","vscode-extensions/auric-artisan-formatter/docs","Auric Artisan Formatter guides","Contents of the Auric Artisan Formatter task guides and references.","15"
"vscode-extensions","vscode-extensions/auric-artisan-formatter/others","Supporting material","Contents of the supporting pages for Auric Artisan Formatter.","7"
"browser-extension","browser-extension","Auric Artisan browser extension","What the Auric Artisan browser extension is, who it is for, where to get it and how to start using it.","1"
"browser-extension","browser-extension/docs","Browser extension documentation","The contents of the browser extension's how-to documentation, from installing to every tool and setting.","7"
"browser-extension","browser-extension/docs/check","Check tools","The tools in the Check space — Contrast, Vision, Audit and Findings — and the rules the audit applies.","6"
"browser-extension","browser-extension/docs/code","Code tools","The tools in the Code space — Inspect, Tokens and Snippets — and every code format the extension can export.","5"
"browser-extension","browser-extension/docs/colour","Colour tools","The tools in the Colour space — Picker, Page palette, Image, Gradient, Mix, and the Harmony, Scale and Convert tools behind the Picker.","9"
"browser-extension","browser-extension/docs/install","Install the extension","Which browsers the extension supports and how to install it on each one, from a store or from a ZIP package.","8"
"browser-extension","browser-extension/docs/on-websites","On websites","The optional features that work on websites themselves — Auric pickers for form controls, the compact colour picker, the custom right-click menu — and the entries in the browser's own menu.","6"
"browser-extension","browser-extension/docs/saved","Saved","The Saved space — your colour library and palettes, your colour history, and links to the full-size tools on auricartisan.com.","4"
"browser-extension","browser-extension/docs/settings","Settings","How to open the extension's Settings view, how it saves, and what each of its six sections holds.","7"
"browser-extension","browser-extension/docs/surfaces","Surfaces","The places the extension appears — the popup, Home, search, the side panel, the page itself and the element inspector.","7"
"browser-extension","browser-extension/docs/workflows","Workflows","End-to-end tasks that combine several of the extension's tools, step by step.","8"
"browser-extension","browser-extension/others","Other material","Background material for the browser extension — glossary, shortcuts, limits and accuracy, related tools, release notes and privacy.","7"
"services","services","Services","The Auric Artisan services you can use from your own sites and code — the Font CDN, the Icon CDN and the public REST API.","1"
"services","services/font-cdn","Font CDN","What the Auric Artisan Font CDN at fonts.auricartisan.com serves, who it is for, and how to put a font on your page in a few steps.","1"
"services","services/font-cdn/docs","Font CDN documentation","The contents of the Font CDN documentation, from a first embed to the loader API and self-hosting.","9"
"services","services/font-cdn/others","Other material","Background material for the Font CDN — glossary, licences, limits and accuracy, related tools and privacy.","6"
"services","services/icon-cdn","Icon CDN","What the Auric Artisan Icon CDN at icons.auricartisan.com serves, who it is for, and how to put an icon on your page in a few steps.","1"
"services","services/icon-cdn/docs","Icon CDN documentation","The contents of the Icon CDN documentation, from a first icon to the loader API, styling and self-hosting.","10"
"services","services/icon-cdn/others","Other material","Background material for the Icon CDN — glossary, licences, limits and accuracy, related tools and privacy.","6"
"services","services/public-api","Auric Artisan REST API","What the Auric Artisan REST API is, who it is for, where to find it, and how to make a first call.","1"
"services","services/public-api/docs","Public API documentation","The contents of the public API documentation, from creating a key to every endpoint, error and limit.","10"
"services","services/public-api/docs/endpoints","Endpoints","The groups of endpoints in the Auric Artisan REST API, with a page for each group.","10"
"services","services/public-api/others","Other material","Background material for the public API — glossary, limits and accuracy, related products, release notes and privacy.","6"
"design-tool-plugins","design-tool-plugins","Design tool plugins","Which Auric Artisan plugins for design tools and launchers exist, what they are planned to do, and why none can be installed yet.","1"
"help","help","Help","General help for Auric Artisan — frequently asked questions, a glossary, troubleshooting, accessibility, privacy, and how to get support.","7"
